trade_fact_sk,date_key,exporter_geo_sk,importer_geo_sk,era_sk,trade_category_sk,trade_value_bn_usd,yoy_growth_pct,effective_tariff_rate_pct,trade_active,supply_chain_integrated,concentration_risk
1,20000101,1,6,1,1,23.18,0.0,2.5,1,0,0.158
2,20000101,1,6,1,3,23.18,0.0,2.5,1,0,0.158
3,20000101,1,6,1,5,23.18,0.0,2.5,1,0,0.158
4,20000101,1,6,1,17,23.18,0.0,2.5,1,0,0.158
5,20000101,1,6,1,26,23.18,0.0,2.5,1,0,0.158
6,20000101,1,6,1,28,23.18,0.0,2.5,1,0,0.158
7,20000101,1,6,1,33,23.18,0.0,2.5,1,0,0.158
8,20010101,1,6,1,1,26.71,15.23,2.5,1,0,0.404
9,20010101,1,6,1,3,26.71,15.23,2.5,1,0,0.404
10,20010101,1,6,1,5,26.71,15.23,2.5,1,0,0.404
11,20010101,1,6,1,17,26.71,15.23,2.5,1,0,0.404
12,20010101,1,6,1,26,26.71,15.23,2.5,1,0,0.404
13,20010101,1,6,1,28,26.71,15.23,2.5,1,0,0.404
14,20010101,1,6,1,33,26.71,15.23,2.5,1,0,0.404
15,20020101,1,6,1,1,26.44,-1.01,2.5,1,0,0.537
16,20020101,1,6,1,3,26.44,-1.01,2.5,1,0,0.537
17,20020101,1,6,1,5,26.44,-1.01,2.5,1,0,0.537
18,20020101,1,6,1,17,26.44,-1.01,2.5,1,0,0.537
19,20020101,1,6,1,26,26.44,-1.01,2.5,1,0,0.537
20,20020101,1,6,1,28,26.44,-1.01,2.5,1,0,0.537
21,20020101,1,6,1,33,26.44,-1.01,2.5,1,0,0.537
22,20030101,1,6,1,1,27.68,4.69,2.5,1,0,0.381
23,20030101,1,6,1,3,27.68,4.69,2.5,1,0,0.381
24,20030101,1,6,1,5,27.68,4.69,2.5,1,0,0.381
25,20030101,1,6,1,17,27.68,4.69,2.5,1,0,0.381
26,20030101,1,6,1,26,27.68,4.69,2.5,1,0,0.381
27,20030101,1,6,1,28,27.68,4.69,2.5,1,0,0.381
28,20030101,1,6,1,33,27.68,4.69,2.5,1,0,0.381
29,20040101,1,6,1,1,29.89,7.98,2.5,1,0,0.363
30,20040101,1,6,1,3,29.89,7.98,2.5,1,0,0.363
31,20040101,1,6,1,5,29.89,7.98,2.5,1,0,0.363
32,20040101,1,6,1,17,29.89,7.98,2.5,1,0,0.363
33,20040101,1,6,1,26,29.89,7.98,2.5,1,0,0.363
34,20040101,1,6,1,28,29.89,7.98,2.5,1,0,0.363
35,20040101,1,6,1,33,29.89,7.98,2.5,1,0,0.363
36,20050101,1,6,1,1,33.07,10.64,2.5,1,0,0.441
37,20050101,1,6,1,3,33.07,10.64,2.5,1,0,0.441
38,20050101,1,6,1,5,33.07,10.64,2.5,1,0,0.441
39,20050101,1,6,1,17,33.07,10.64,2.5,1,0,0.441
40,20050101,1,6,1,26,33.07,10.64,2.5,1,0,0.441
41,20050101,1,6,1,28,33.07,10.64,2.5,1,0,0.441
42,20050101,1,6,1,33,33.07,10.64,2.5,1,0,0.441
43,20060101,1,6,1,1,34.46,4.2,2.5,1,0,0.42
44,20060101,1,6,1,3,34.46,4.2,2.5,1,0,0.42
45,20060101,1,6,1,5,34.46,4.2,2.5,1,0,0.42
46,20060101,1,6,1,17,34.46,4.2,2.5,1,0,0.42
47,20060101,1,6,1,26,34.46,4.2,2.5,1,0,0.42
48,20060101,1,6,1,28,34.46,4.2,2.5,1,0,0.42
49,20060101,1,6,1,33,34.46,4.2,2.5,1,0,0.42
50,20070101,1,6,1,1,33.43,-2.99,2.5,1,0,0.486
51,20070101,1,6,1,3,33.43,-2.99,2.5,1,0,0.486
52,20070101,1,6,1,5,33.43,-2.99,2.5,1,0,0.486
53,20070101,1,6,1,17,33.43,-2.99,2.5,1,0,0.486
54,20070101,1,6,1,26,33.43,-2.99,2.5,1,0,0.486
55,20070101,1,6,1,28,33.43,-2.99,2.5,1,0,0.486
56,20070101,1,6,1,33,33.43,-2.99,2.5,1,0,0.486
57,20080101,1,6,2,1,35.4,5.89,2.5,1,0,0.337
58,20080101,1,6,2,3,35.4,5.89,2.5,1,0,0.337
59,20080101,1,6,2,5,35.4,5.89,2.5,1,0,0.337
60,20080101,1,6,2,17,35.4,5.89,2.5,1,0,0.337
