week_start,year,port,country,region,throughput_teu_mn,vessels_at_anchor,avg_wait_days,congestion_index,port_utilization_pct,berth_delay_hrs,date
2019-01-07,2019,Shanghai,China,Asia,95,3,46.8,1.04,78.2,567.4,2019-01-07
2019-01-14,2019,Shanghai,China,Asia,95,16,43.2,0.96,80.4,509.4,2019-01-14
2019-01-21,2019,Shanghai,China,Asia,95,22,39.9,0.89,70.8,483.0,2019-01-21
2019-01-28,2019,Shanghai,China,Asia,95,28,51.6,1.15,91.4,617.0,2019-01-28
2019-02-04,2019,Shanghai,China,Asia,95,23,45.4,1.01,79.60000000000001,551.3,2019-02-04
2019-02-11,2019,Shanghai,China,Asia,95,24,48.9,1.09,81.5,587.4,2019-02-11
2019-02-18,2019,Shanghai,China,Asia,95,24,44.8,1.0,86.5,533.5,2019-02-18
2019-02-25,2019,Shanghai,China,Asia,95,36,47.9,1.07,83.5,594.0,2019-02-25
2019-03-04,2019,Shanghai,China,Asia,95,24,42.5,0.94,70.5,507.4,2019-03-04
2019-03-11,2019,Shanghai,China,Asia,95,33,46.7,1.04,82.19999999999999,570.6,2019-03-11
2019-03-18,2019,Shanghai,China,Asia,95,18,44.4,0.99,87.7,535.5,2019-03-18
2019-03-25,2019,Shanghai,China,Asia,95,13,40.4,0.9,66.2,492.2,2019-03-25
2019-04-01,2019,Shanghai,China,Asia,95,22,42.6,0.95,73.6,517.1,2019-04-01
2019-04-08,2019,Shanghai,China,Asia,95,9,39.6,0.88,69.6,480.4,2019-04-08
2019-04-15,2019,Shanghai,China,Asia,95,14,47.3,1.05,84.7,561.7,2019-04-15
2019-04-22,2019,Shanghai,China,Asia,95,10,41.6,0.92,77.3,504.4,2019-04-22
2019-04-29,2019,Shanghai,China,Asia,95,40,49.3,1.09,96.7,577.6,2019-04-29
2019-05-06,2019,Shanghai,China,Asia,95,13,40.3,0.9,66.4,474.8,2019-05-06
2019-05-13,2019,Shanghai,China,Asia,95,8,43.0,0.96,75.9,516.7,2019-05-13
2019-05-20,2019,Shanghai,China,Asia,95,30,48.4,1.07,86.2,577.4,2019-05-20
2019-05-27,2019,Shanghai,China,Asia,95,34,61.9,1.37,99.0,734.3,2019-05-27
2019-06-03,2019,Shanghai,China,Asia,95,17,34.7,0.77,59.599999999999994,412.2,2019-06-03
2019-06-10,2019,Shanghai,China,Asia,95,38,60.8,1.35,99.0,722.7,2019-06-10
2019-06-17,2019,Shanghai,China,Asia,95,19,38.7,0.86,67.80000000000001,450.0,2019-06-17
2019-06-24,2019,Shanghai,China,Asia,95,22,43.8,0.97,75.1,519.1,2019-06-24
2019-07-01,2019,Shanghai,China,Asia,95,18,41.5,0.92,72.3,502.9,2019-07-01
2019-07-08,2019,Shanghai,China,Asia,95,22,52.9,1.18,89.9,638.5,2019-07-08
