port_fact_sk,date_key,geo_sk,event_sk,avg_wait_days,vessels_anchor,utilization_pct,congestion_level,load_timestamp
1,20190107,1,20,46.8,3,78.2,Busy,Wed May 13 12:51:38 EET 2026
2,20190114,1,20,43.2,16,80.4,Congested,Wed May 13 12:51:38 EET 2026
3,20190121,1,20,39.9,22,70.8,Busy,Wed May 13 12:51:38 EET 2026
4,20190128,1,20,51.6,28,91.4,Congested,Wed May 13 12:51:38 EET 2026
5,20190204,1,20,45.4,23,79.6,Busy,Wed May 13 12:51:38 EET 2026
6,20190211,1,20,48.9,24,81.5,Congested,Wed May 13 12:51:38 EET 2026
7,20190218,1,20,44.8,24,86.5,Congested,Wed May 13 12:51:38 EET 2026
8,20190225,1,20,47.9,36,83.5,Congested,Wed May 13 12:51:38 EET 2026
9,20190304,1,20,42.5,24,70.5,Busy,Wed May 13 12:51:38 EET 2026
10,20190311,1,20,46.7,33,82.2,Congested,Wed May 13 12:51:38 EET 2026
11,20190318,1,20,44.4,18,87.7,Congested,Wed May 13 12:51:38 EET 2026
12,20190325,1,20,40.4,13,66.2,Busy,Wed May 13 12:51:38 EET 2026
13,20190401,1,20,42.6,22,73.6,Busy,Wed May 13 12:51:38 EET 2026
14,20190408,1,20,39.6,9,69.6,Busy,Wed May 13 12:51:38 EET 2026
15,20190415,1,20,47.3,14,84.7,Congested,Wed May 13 12:51:38 EET 2026
16,20190422,1,20,41.6,10,77.3,Busy,Wed May 13 12:51:38 EET 2026
17,20190429,1,20,49.3,40,96.7,Critical,Wed May 13 12:51:38 EET 2026
18,20190506,1,20,40.3,13,66.4,Busy,Wed May 13 12:51:38 EET 2026
19,20190513,1,20,43.0,8,75.9,Busy,Wed May 13 12:51:38 EET 2026
20,20190520,1,20,48.4,30,86.2,Congested,Wed May 13 12:51:38 EET 2026
21,20190527,1,20,61.9,34,99.0,Critical,Wed May 13 12:51:38 EET 2026
22,20190603,1,20,34.7,17,59.6,Normal,Wed May 13 12:51:38 EET 2026
23,20190610,1,20,60.8,38,99.0,Critical,Wed May 13 12:51:38 EET 2026
24,20190617,1,20,38.7,19,67.8,Busy,Wed May 13 12:51:38 EET 2026
25,20190624,1,20,43.8,22,75.1,Busy,Wed May 13 12:51:38 EET 2026
26,20190701,1,20,41.5,18,72.3,Busy,Wed May 13 12:51:38 EET 2026
27,20190708,1,20,52.9,22,89.9,Congested,Wed May 13 12:51:38 EET 2026
28,20190715,1,20,49.3,19,88.6,Congested,Wed May 13 12:51:38 EET 2026
29,20190722,1,20,54.6,51,91.2,Congested,Wed May 13 12:51:38 EET 2026
30,20190729,1,20,45.1,21,75.5,Busy,Wed May 13 12:51:38 EET 2026
31,20190805,1,20,45.6,14,79.4,Busy,Wed May 13 12:51:38 EET 2026
32,20190812,1,20,38.2,21,66.7,Busy,Wed May 13 12:51:38 EET 2026
33,20190819,1,20,62.5,35,99.0,Critical,Wed May 13 12:51:38 EET 2026
34,20190826,1,20,37.1,33,60.6,Busy,Wed May 13 12:51:38 EET 2026
35,20190902,1,20,44.7,21,73.9,Busy,Wed May 13 12:51:38 EET 2026
36,20190909,1,20,54.1,16,88.2,Congested,Wed May 13 12:51:38 EET 2026
37,20190916,1,20,48.4,16,77.6,Busy,Wed May 13 12:51:38 EET 2026
38,20190923,1,20,44.6,35,73.2,Busy,Wed May 13 12:51:38 EET 2026
39,20190930,1,20,49.8,0,90.4,Congested,Wed May 13 12:51:38 EET 2026
40,20191007,1,20,47.3,26,86.3,Congested,Wed May 13 12:51:38 EET 2026
41,20191014,1,20,31.5,9,55.2,Normal,Wed May 13 12:51:38 EET 2026
42,20191021,1,20,48.3,33,86.2,Congested,Wed May 13 12:51:38 EET 2026
43,20191028,1,20,34.1,13,60.8,Busy,Wed May 13 12:51:38 EET 2026
44,20191104,1,20,49.5,35,86.3,Congested,Wed May 13 12:51:38 EET 2026
45,20191111,1,20,37.1,36,62.2,Busy,Wed May 13 12:51:38 EET 2026
46,20191118,1,20,54.2,27,98.3,Critical,Wed May 13 12:51:38 EET 2026
47,20191125,1,20,48.2,28,86.3,Congested,Wed May 13 12:51:38 EET 2026
48,20191202,1,20,52.1,5,92.0,Congested,Wed May 13 12:51:38 EET 2026
49,20191209,1,20,53.9,21,98.1,Critical,Wed May 13 12:51:38 EET 2026
50,20191216,1,20,66.2,20,99.0,Critical,Wed May 13 12:51:38 EET 2026
51,20191223,1,20,41.8,11,61.4,Busy,Wed May 13 12:51:38 EET 2026
52,20191230,1,20,47.6,17,90.2,Congested,Wed May 13 12:51:38 EET 2026
53,20200106,1,25,54.6,30,98.0,Critical,Wed May 13 12:51:38 EET 2026
54,20200113,1,25,55.3,28,97.8,Critical,Wed May 13 12:51:38 EET 2026
55,20200120,1,25,43.1,25,83.6,Congested,Wed May 13 12:51:38 EET 2026
56,20200127,1,25,47.9,39,87.6,Congested,Wed May 13 12:51:38 EET 2026
57,20200203,1,25,31.5,19,45.7,Normal,Wed May 13 12:51:38 EET 2026
58,20200210,1,25,46.2,34,76.4,Busy,Wed May 13 12:51:38 EET 2026
59,20200217,1,25,46.8,23,79.1,Busy,Wed May 13 12:51:38 EET 2026
60,20200224,1,25,68.2,48,99.0,Critical,Wed May 13 12:51:38 EET 2026
61,20200302,1,25,56.2,25,89.2,Congested,Wed May 13 12:51:38 EET 2026
62,20200309,1,25,50.8,13,87.4,Congested,Wed May 13 12:51:38 EET 2026
63,20200316,1,25,56.4,38,99.0,Critical,Wed May 13 12:51:38 EET 2026
64,20200323,1,25,44.7,24,72.8,Busy,Wed May 13 12:51:38 EET 2026
65,20200330,1,25,46.0,26,84.6,Congested,Wed May 13 12:51:38 EET 2026
66,20200406,1,25,160.4,40,99.0,Critical,Wed May 13 12:51:38 EET 2026
67,20200413,1,25,214.1,186,99.0,Critical,Wed May 13 12:51:38 EET 2026
68,20200420,1,25,76.8,53,99.0,Critical,Wed May 13 12:51:38 EET 2026
69,20200427,1,25,96.8,86,99.0,Critical,Wed May 13 12:51:38 EET 2026
70,20200504,1,25,116.5,37,99.0,Critical,Wed May 13 12:51:38 EET 2026
71,20200511,1,25,92.3,64,99.0,Critical,Wed May 13 12:51:38 EET 2026
72,20200518,1,25,123.0,42,99.0,Critical,Wed May 13 12:51:38 EET 2026
73,20200525,1,25,140.3,68,99.0,Critical,Wed May 13 12:51:38 EET 2026
74,20200601,1,25,60.9,35,99.0,Critical,Wed May 13 12:51:38 EET 2026
75,20200608,1,25,87.7,39,99.0,Critical,Wed May 13 12:51:38 EET 2026
76,20200615,1,25,87.6,65,99.0,Critical,Wed May 13 12:51:38 EET 2026
77,20200622,1,25,77.2,6,99.0,Critical,Wed May 13 12:51:38 EET 2026
78,20200629,1,25,49.2,17,81.6,Congested,Wed May 13 12:51:38 EET 2026
79,20200706,1,25,60.1,8,99.0,Critical,Wed May 13 12:51:38 EET 2026
80,20200713,1,25,80.1,27,99.0,Critical,Wed May 13 12:51:38 EET 2026
81,20200720,1,25,57.3,24,99.0,Critical,Wed May 13 12:51:38 EET 2026
82,20200727,1,25,103.2,80,99.0,Critical,Wed May 13 12:51:38 EET 2026
83,20200803,1,25,99.6,95,99.0,Critical,Wed May 13 12:51:38 EET 2026
84,20200810,1,25,73.8,38,99.0,Critical,Wed May 13 12:51:38 EET 2026
85,20200817,1,25,74.6,42,99.0,Critical,Wed May 13 12:51:38 EET 2026
86,20200824,1,25,102.3,65,99.0,Critical,Wed May 13 12:51:38 EET 2026
87,20200831,1,25,128.1,147,99.0,Critical,Wed May 13 12:51:38 EET 2026
88,20200907,1,25,126.1,88,99.0,Critical,Wed May 13 12:51:38 EET 2026
89,20200914,1,25,117.8,34,99.0,Critical,Wed May 13 12:51:38 EET 2026
90,20200921,1,25,135.0,47,99.0,Critical,Wed May 13 12:51:38 EET 2026
91,20200928,1,25,68.6,11,99.0,Critical,Wed May 13 12:51:38 EET 2026
92,20201005,1,25,81.1,24,99.0,Critical,Wed May 13 12:51:38 EET 2026
93,20201012,1,25,122.1,61,99.0,Critical,Wed May 13 12:51:38 EET 2026
94,20201019,1,25,110.5,71,99.0,Critical,Wed May 13 12:51:38 EET 2026
95,20201026,1,25,54.4,30,97.4,Critical,Wed May 13 12:51:38 EET 2026
96,20201102,1,25,172.7,48,99.0,Critical,Wed May 13 12:51:38 EET 2026
97,20201109,1,25,97.2,45,99.0,Critical,Wed May 13 12:51:38 EET 2026
98,20201116,1,25,151.4,75,99.0,Critical,Wed May 13 12:51:38 EET 2026
99,20201123,1,25,126.0,39,99.0,Critical,Wed May 13 12:51:38 EET 2026
100,20201130,1,25,96.5,0,99.0,Critical,Wed May 13 12:51:38 EET 2026
101,20201207,1,25,118.2,66,99.0,Critical,Wed May 13 12:51:38 EET 2026
102,20201214,1,25,144.3,105,99.0,Critical,Wed May 13 12:51:38 EET 2026
103,20201221,1,25,131.4,55,99.0,Critical,Wed May 13 12:51:38 EET 2026
104,20201228,1,25,106.9,74,99.0,Critical,Wed May 13 12:51:38 EET 2026
105,20210104,1,,202.6,174,99.0,Critical,Wed May 13 12:51:38 EET 2026
106,20210111,1,,185.0,174,99.0,Critical,Wed May 13 12:51:38 EET 2026
107,20210118,1,,430.0,200,99.0,Critical,Wed May 13 12:51:38 EET 2026
108,20210125,1,,310.9,113,99.0,Critical,Wed May 13 12:51:38 EET 2026
109,20210201,1,,222.4,119,99.0,Critical,Wed May 13 12:51:38 EET 2026
110,20210208,1,,142.7,13,99.0,Critical,Wed May 13 12:51:38 EET 2026
111,20210215,1,,244.4,147,99.0,Critical,Wed May 13 12:51:38 EET 2026
112,20210222,1,,198.0,74,99.0,Critical,Wed May 13 12:51:38 EET 2026
113,20210301,1,27,100.8,62,99.0,Critical,Wed May 13 12:51:38 EET 2026
114,20210308,1,27,169.6,0,99.0,Critical,Wed May 13 12:51:38 EET 2026
115,20210315,1,27,87.1,61,99.0,Critical,Wed May 13 12:51:38 EET 2026
116,20210322,1,27,232.8,119,99.0,Critical,Wed May 13 12:51:38 EET 2026
117,20210329,1,27,317.4,83,99.0,Critical,Wed May 13 12:51:38 EET 2026
118,20210405,1,,97.8,60,99.0,Critical,Wed May 13 12:51:38 EET 2026
119,20210412,1,,363.6,198,99.0,Critical,Wed May 13 12:51:38 EET 2026
120,20210419,1,,145.5,37,99.0,Critical,Wed May 13 12:51:38 EET 2026
121,20210426,1,,135.7,100,99.0,Critical,Wed May 13 12:51:38 EET 2026
122,20210503,1,,242.4,181,99.0,Critical,Wed May 13 12:51:38 EET 2026
123,20210510,1,,228.2,149,99.0,Critical,Wed May 13 12:51:38 EET 2026
124,20210517,1,,243.4,165,99.0,Critical,Wed May 13 12:51:38 EET 2026
125,20210524,1,,330.9,189,99.0,Critical,Wed May 13 12:51:38 EET 2026
126,20210531,1,,162.3,138,99.0,Critical,Wed May 13 12:51:38 EET 2026
127,20210607,1,,323.2,89,99.0,Critical,Wed May 13 12:51:38 EET 2026
128,20210614,1,,280.8,46,99.0,Critical,Wed May 13 12:51:38 EET 2026
129,20210621,1,,158.5,63,99.0,Critical,Wed May 13 12:51:38 EET 2026
130,20210628,1,,201.1,147,99.0,Critical,Wed May 13 12:51:38 EET 2026
131,20210705,1,,153.4,50,99.0,Critical,Wed May 13 12:51:38 EET 2026
132,20210712,1,,161.7,74,99.0,Critical,Wed May 13 12:51:38 EET 2026
133,20210719,1,,145.5,71,99.0,Critical,Wed May 13 12:51:38 EET 2026
134,20210726,1,,197.2,98,99.0,Critical,Wed May 13 12:51:38 EET 2026
135,20210802,1,,176.8,78,99.0,Critical,Wed May 13 12:51:38 EET 2026
136,20210809,1,,255.2,122,99.0,Critical,Wed May 13 12:51:38 EET 2026
137,20210816,1,,359.8,165,99.0,Critical,Wed May 13 12:51:38 EET 2026
138,20210823,1,,226.6,200,99.0,Critical,Wed May 13 12:51:38 EET 2026
139,20210830,1,,337.4,98,99.0,Critical,Wed May 13 12:51:38 EET 2026
140,20210906,1,,224.5,58,99.0,Critical,Wed May 13 12:51:38 EET 2026
141,20210913,1,,134.7,43,99.0,Critical,Wed May 13 12:51:38 EET 2026
142,20210920,1,,170.3,90,99.0,Critical,Wed May 13 12:51:38 EET 2026
143,20210927,1,,200.1,67,99.0,Critical,Wed May 13 12:51:38 EET 2026
144,20211004,1,,167.5,104,99.0,Critical,Wed May 13 12:51:38 EET 2026
145,20211011,1,,377.3,200,99.0,Critical,Wed May 13 12:51:38 EET 2026
146,20211018,1,,330.2,146,99.0,Critical,Wed May 13 12:51:38 EET 2026
