port_fact_sk,date_key,geo_sk,era_sk,avg_wait_days,vessels_anchor,utilization_pct,congestion_level,load_timestamp
1,20190107,1,3,46.8,3,78.2,Busy,Wed May 13 12:51:38 EET 2026
2,20190114,1,3,43.2,16,80.4,Congested,Wed May 13 12:51:38 EET 2026
3,20190121,1,3,39.9,22,70.8,Busy,Wed May 13 12:51:38 EET 2026
4,20190128,1,3,51.6,28,91.4,Congested,Wed May 13 12:51:38 EET 2026
5,20190204,1,3,45.4,23,79.6,Busy,Wed May 13 12:51:38 EET 2026
6,20190211,1,3,48.9,24,81.5,Congested,Wed May 13 12:51:38 EET 2026
7,20190218,1,3,44.8,24,86.5,Congested,Wed May 13 12:51:38 EET 2026
8,20190225,1,3,47.9,36,83.5,Congested,Wed May 13 12:51:38 EET 2026
9,20190304,1,3,42.5,24,70.5,Busy,Wed May 13 12:51:38 EET 2026
10,20190311,1,3,46.7,33,82.2,Congested,Wed May 13 12:51:38 EET 2026
11,20190318,1,3,44.4,18,87.7,Congested,Wed May 13 12:51:38 EET 2026
12,20190325,1,3,40.4,13,66.2,Busy,Wed May 13 12:51:38 EET 2026
13,20190401,1,3,42.6,22,73.6,Busy,Wed May 13 12:51:38 EET 2026
14,20190408,1,3,39.6,9,69.6,Busy,Wed May 13 12:51:38 EET 2026
15,20190415,1,3,47.3,14,84.7,Congested,Wed May 13 12:51:38 EET 2026
16,20190422,1,3,41.6,10,77.3,Busy,Wed May 13 12:51:38 EET 2026
17,20190429,1,3,49.3,40,96.7,Critical,Wed May 13 12:51:38 EET 2026
18,20190506,1,3,40.3,13,66.4,Busy,Wed May 13 12:51:38 EET 2026
19,20190513,1,3,43.0,8,75.9,Busy,Wed May 13 12:51:38 EET 2026
20,20190520,1,3,48.4,30,86.2,Congested,Wed May 13 12:51:38 EET 2026
21,20190527,1,3,61.9,34,99.0,Critical,Wed May 13 12:51:38 EET 2026
22,20190603,1,3,34.7,17,59.6,Normal,Wed May 13 12:51:38 EET 2026
23,20190610,1,3,60.8,38,99.0,Critical,Wed May 13 12:51:38 EET 2026
24,20190617,1,3,38.7,19,67.8,Busy,Wed May 13 12:51:38 EET 2026
25,20190624,1,3,43.8,22,75.1,Busy,Wed May 13 12:51:38 EET 2026
26,20190701,1,3,41.5,18,72.3,Busy,Wed May 13 12:51:38 EET 2026
27,20190708,1,3,52.9,22,89.9,Congested,Wed May 13 12:51:38 EET 2026
28,20190715,1,3,49.3,19,88.6,Congested,Wed May 13 12:51:38 EET 2026
29,20190722,1,3,54.6,51,91.2,Congested,Wed May 13 12:51:38 EET 2026
30,20190729,1,3,45.1,21,75.5,Busy,Wed May 13 12:51:38 EET 2026
31,20190805,1,3,45.6,14,79.4,Busy,Wed May 13 12:51:38 EET 2026
32,20190812,1,3,38.2,21,66.7,Busy,Wed May 13 12:51:38 EET 2026
33,20190819,1,3,62.5,35,99.0,Critical,Wed May 13 12:51:38 EET 2026
34,20190826,1,3,37.1,33,60.6,Busy,Wed May 13 12:51:38 EET 2026
35,20190902,1,3,44.7,21,73.9,Busy,Wed May 13 12:51:38 EET 2026
36,20190909,1,3,54.1,16,88.2,Congested,Wed May 13 12:51:38 EET 2026
37,20190916,1,3,48.4,16,77.6,Busy,Wed May 13 12:51:38 EET 2026
38,20190923,1,3,44.6,35,73.2,Busy,Wed May 13 12:51:38 EET 2026
39,20190930,1,3,49.8,0,90.4,Congested,Wed May 13 12:51:38 EET 2026
40,20191007,1,3,47.3,26,86.3,Congested,Wed May 13 12:51:38 EET 2026
41,20191014,1,3,31.5,9,55.2,Normal,Wed May 13 12:51:38 EET 2026
42,20191021,1,3,48.3,33,86.2,Congested,Wed May 13 12:51:38 EET 2026
43,20191028,1,3,34.1,13,60.8,Busy,Wed May 13 12:51:38 EET 2026
44,20191104,1,3,49.5,35,86.3,Congested,Wed May 13 12:51:38 EET 2026
45,20191111,1,3,37.1,36,62.2,Busy,Wed May 13 12:51:38 EET 2026
46,20191118,1,3,54.2,27,98.3,Critical,Wed May 13 12:51:38 EET 2026
47,20191125,1,3,48.2,28,86.3,Congested,Wed May 13 12:51:38 EET 2026
48,20191202,1,3,52.1,5,92.0,Congested,Wed May 13 12:51:38 EET 2026
49,20191209,1,3,53.9,21,98.1,Critical,Wed May 13 12:51:38 EET 2026
50,20191216,1,3,66.2,20,99.0,Critical,Wed May 13 12:51:38 EET 2026
51,20191223,1,3,41.8,11,61.4,Busy,Wed May 13 12:51:38 EET 2026
52,20191230,1,3,47.6,17,90.2,Congested,Wed May 13 12:51:38 EET 2026
53,20200106,1,4,54.6,30,98.0,Critical,Wed May 13 12:51:38 EET 2026
54,20200113,1,4,55.3,28,97.8,Critical,Wed May 13 12:51:38 EET 2026
55,20200120,1,4,43.1,25,83.6,Congested,Wed May 13 12:51:38 EET 2026
56,20200127,1,4,47.9,39,87.6,Congested,Wed May 13 12:51:38 EET 2026
57,20200203,1,4,31.5,19,45.7,Normal,Wed May 13 12:51:38 EET 2026
58,20200210,1,4,46.2,34,76.4,Busy,Wed May 13 12:51:38 EET 2026
59,20200217,1,4,46.8,23,79.1,Busy,Wed May 13 12:51:38 EET 2026
60,20200224,1,4,68.2,48,99.0,Critical,Wed May 13 12:51:38 EET 2026
61,20200302,1,4,56.2,25,89.2,Congested,Wed May 13 12:51:38 EET 2026
62,20200309,1,4,50.8,13,87.4,Congested,Wed May 13 12:51:38 EET 2026
63,20200316,1,4,56.4,38,99.0,Critical,Wed May 13 12:51:38 EET 2026
64,20200323,1,4,44.7,24,72.8,Busy,Wed May 13 12:51:38 EET 2026
65,20200330,1,4,46.0,26,84.6,Congested,Wed May 13 12:51:38 EET 2026
66,20200406,1,4,160.4,40,99.0,Critical,Wed May 13 12:51:38 EET 2026
67,20200413,1,4,214.1,186,99.0,Critical,Wed May 13 12:51:38 EET 2026
68,20200420,1,4,76.8,53,99.0,Critical,Wed May 13 12:51:38 EET 2026
